Pixel;q_xy(A^-1);Intensity
300.000000;-1.390755;5282.095000
301.000000;-1.388471;5266.810000
302.000000;-1.386185;5267.000000
303.000000;-1.383900;5280.190000
304.000000;-1.381613;5212.381000
305.000000;-1.379326;5199.000000
306.000000;-1.377038;5187.238000
307.000000;-1.374749;5225.714000
308.000000;-1.372460;5175.810000
309.000000;-1.370171;5195.857000
310.000000;-1.367880;5151.905000
311.000000;-1.365589;5136.857000
312.000000;-1.363297;5144.095000
313.000000;-1.361005;5095.905000
314.000000;-1.358712;5065.190000
315.000000;-1.356418;5048.190000
316.000000;-1.354124;5014.333000
317.000000;-1.351829;4988.810000
318.000000;-1.349533;4950.190000
319.000000;-1.347237;4942.905000
320.000000;-1.344940;4954.286000
321.000000;-1.342642;4882.000000
322.000000;-1.340344;4881.714000
323.000000;-1.338045;4855.571000
324.000000;-1.335745;4822.190000
325.000000;-1.333445;4785.333000
326.000000;-1.331145;4816.333000
327.000000;-1.328843;4737.571000
328.000000;-1.326541;4751.571000
329.000000;-1.324238;4721.429000
330.000000;-1.321935;4700.190000
331.000000;-1.319631;4671.667000
332.000000;-1.317326;4648.905000
333.000000;-1.315021;4612.381000
334.000000;-1.312715;4614.714000
335.000000;-1.310409;4582.667000
336.000000;-1.308102;4576.857000
337.000000;-1.305794;4542.238000
338.000000;-1.303485;4540.238000
339.000000;-1.301176;4493.905000
340.000000;-1.298867;4463.619000
341.000000;-1.296556;4434.571000
342.000000;-1.294246;4439.048000
343.000000;-1.291934;4392.857000
344.000000;-1.289622;4381.000000
345.000000;-1.287309;4344.095000
346.000000;-1.284996;4363.476000
347.000000;-1.282682;4317.143000
348.000000;-1.280367;4314.762000
349.000000;-1.278052;4246.524000
350.000000;-1.275736;4246.762000
351.000000;-1.273419;4233.667000
352.000000;-1.271102;4180.429000
353.000000;-1.268785;4144.190000
354.000000;-1.266466;4099.143000
355.000000;-1.264147;4107.762000
356.000000;-1.261828;4096.476000
357.000000;-1.259507;4071.810000
358.000000;-1.257187;4050.524000
359.000000;-1.254865;4025.476000
360.000000;-1.252543;4003.048000
361.000000;-1.250221;3970.762000
362.000000;-1.247897;3952.429000
363.000000;-1.245573;3960.286000
364.000000;-1.243249;3957.429000
365.000000;-1.240924;3898.286000
366.000000;-1.238598;3885.857000
367.000000;-1.236272;3877.143000
368.000000;-1.233945;3894.524000
369.000000;-1.231618;3858.429000
370.000000;-1.229289;3847.286000
371.000000;-1.226961;3816.238000
372.000000;-1.224631;3855.905000
373.000000;-1.222302;3846.905000
374.000000;-1.219971;3833.476000
375.000000;-1.217640;3859.429000
376.000000;-1.215308;3847.238000
377.000000;-1.212976;3806.000000
378.000000;-1.210643;3814.619000
379.000000;-1.208310;3813.381000
380.000000;-1.205976;3781.524000
381.000000;-1.203641;3797.952000
382.000000;-1.201306;3769.000000
383.000000;-1.198970;3731.667000
384.000000;-1.196634;3708.857000
385.000000;-1.194297;3719.333000
386.000000;-1.191959;3697.810000
387.000000;-1.189621;3672.571000
388.000000;-1.187282;3678.429000
389.000000;-1.184943;3635.571000
390.000000;-1.182603;3619.762000
391.000000;-1.180262;3595.286000
392.000000;-1.177921;3575.619000
393.000000;-1.175579;3558.857000
394.000000;-1.173237;3537.238000
395.000000;-1.170894;3517.238000
396.000000;-1.168551;3505.429000
397.000000;-1.166207;3473.619000
398.000000;-1.163862;3477.619000
399.000000;-1.161517;3440.381000
400.000000;-1.159172;3426.762000
401.000000;-1.156825;3392.476000
402.000000;-1.154478;3396.238000
403.000000;-1.152131;3399.476000
404.000000;-1.149783;3393.571000
405.000000;-1.147434;3382.381000
406.000000;-1.145085;3373.286000
407.000000;-1.142736;3380.238000
408.000000;-1.140385;3371.476000
409.000000;-1.138034;3374.095000
410.000000;-1.135683;3362.333000
411.000000;-1.133331;3357.476000
412.000000;-1.130979;3375.905000
413.000000;-1.128625;3364.476000
414.000000;-1.126272;3359.857000
415.000000;-1.123918;3323.429000
416.000000;-1.121563;3327.762000
417.000000;-1.119208;3315.476000
418.000000;-1.116852;3303.905000
419.000000;-1.114495;3310.286000
420.000000;-1.112138;3288.095000
421.000000;-1.109781;3277.571000
422.000000;-1.107423;3243.619000
423.000000;-1.105064;3241.619000
424.000000;-1.102705;3266.190000
425.000000;-1.100345;3295.905000
426.000000;-1.097985;3220.476000
427.000000;-1.095624;3214.143000
428.000000;-1.093262;3207.619000
429.000000;-1.090900;3257.952000
430.000000;-1.088538;3215.333000
431.000000;-1.086175;3232.667000
432.000000;-1.083811;3248.619000
433.000000;-1.081447;3228.429000
434.000000;-1.079082;3245.095000
435.000000;-1.076717;3262.143000
436.000000;-1.074352;3264.714000
437.000000;-1.071985;3294.238000
438.000000;-1.069618;3287.095000
439.000000;-1.067251;3323.762000
440.000000;-1.064883;3313.000000
441.000000;-1.062515;3332.905000
442.000000;-1.060146;3327.048000
443.000000;-1.057776;3336.810000
444.000000;-1.055406;3336.952000
445.000000;-1.053036;3366.619000
446.000000;-1.050665;3336.238000
447.000000;-1.048293;3308.810000
448.000000;-1.045921;3313.429000
449.000000;-1.043548;3294.429000
450.000000;-1.041175;3284.048000
451.000000;-1.038801;3255.810000
452.000000;-1.036427;3255.429000
453.000000;-1.034052;3229.619000
454.000000;-1.031677;3198.286000
455.000000;-1.029301;3179.762000
456.000000;-1.026925;3113.095000
457.000000;-1.024548;3107.762000
458.000000;-1.022171;3049.810000
459.000000;-1.019793;3009.333000
460.000000;-1.017414;3003.429000
461.000000;-1.015035;2979.524000
462.000000;-1.012656;2938.286000
463.000000;-1.010276;2931.524000
464.000000;-1.007896;2906.238000
465.000000;-1.005515;2875.476000
466.000000;-1.003133;2838.714000
467.000000;-1.000751;2846.143000
468.000000;-0.998369;2811.619000
469.000000;-0.995986;2790.143000
470.000000;-0.993602;2800.714000
471.000000;-0.991218;2776.381000
472.000000;-0.988834;2779.762000
473.000000;-0.986449;2745.095000
474.000000;-0.984063;2762.190000
475.000000;-0.981677;2735.048000
476.000000;-0.979291;2740.857000
477.000000;-0.976904;2733.571000
478.000000;-0.974516;2744.714000
479.000000;-0.972128;2727.190000
480.000000;-0.969740;2761.857000
481.000000;-0.967351;2743.952000
482.000000;-0.964961;2754.762000
