q_z(A^-1);Intensity
1.334281;nan
1.332043;nan
1.329805;nan
1.327566;nan
1.325326;nan
1.323085;nan
1.320843;nan
1.318601;nan
1.316358;nan
1.314114;nan
1.311869;nan
1.309623;nan
1.307376;nan
1.305129;nan
1.302881;nan
1.300631;3596.763000
1.298382;3827.618000
1.296131;3805.355000
1.293879;3805.092000
1.291627;3787.526000
1.289374;3762.868000
1.287120;3758.645000
1.284865;3751.395000
1.282609;3722.368000
1.280353;3710.487000
1.278096;3694.658000
1.275838;3678.605000
1.273579;3661.342000
1.271319;3651.303000
1.269059;3636.211000
1.266797;3624.987000
1.264535;3613.395000
1.262272;3588.079000
1.260009;3580.434000
1.257744;3574.711000
1.255479;3547.408000
1.253213;3534.250000
1.250946;3510.750000
1.248678;3518.789000
1.246410;3486.395000
1.244141;3483.395000
1.241871;3474.605000
1.239600;3480.605000
1.237328;3453.197000
1.235056;3436.408000
1.232782;3415.526000
1.230508;3406.500000
1.228234;3387.513000
1.225958;3376.329000
1.223682;3370.987000
1.221404;3343.513000
1.219126;3324.026000
1.216848;3309.342000
1.214568;3307.658000
1.212288;3286.184000
1.210007;3279.289000
1.207725;3252.342000
1.205442;3259.934000
1.203159;3236.092000
1.200875;3213.316000
1.198590;3207.750000
1.196304;3194.447000
1.194018;3173.711000
1.191730;3166.421000
1.189442;3147.158000
1.187154;3135.329000
1.184864;3132.592000
1.182574;3108.434000
1.180283;3091.066000
1.177991;3102.145000
1.175698;3074.539000
1.173405;3071.461000
1.171111;3063.474000
1.168816;3054.547000
1.166520;3040.816000
1.164224;3031.592000
1.161927;3014.342000
1.159629;3022.184000
1.157330;2998.421000
1.155031;2986.013000
1.152730;2986.605000
1.150430;2982.237000
1.148128;2952.526000
1.145826;2955.382000
1.143522;2933.908000
1.141218;2927.211000
1.138914;2907.737000
1.136608;2904.697000
1.134302;2903.842000
1.131995;2896.908000
1.129688;2863.500000
1.127380;2867.684000
1.125070;2858.092000
1.122761;2832.500000
1.120450;2831.197000
1.118139;2835.645000
1.115827;2824.382000
1.113514;2810.658000
1.111201;2807.842000
1.108887;2802.303000
1.106572;2782.039000
1.104256;2792.895000
1.101940;2786.934000
1.099623;2774.039000
1.097305;2752.776000
1.094986;2753.421000
1.092667;2758.289000
1.090347;2743.184000
1.088026;2740.171000
1.085705;2735.737000
1.083383;2750.605000
1.081060;2714.816000
1.078736;2712.316000
1.076412;2709.697000
1.074087;2733.803000
1.071762;2706.329000
1.069435;2703.447000
1.067108;2704.382000
1.064780;2691.158000
1.062452;2691.237000
1.060123;2695.447000
1.057793;2692.013000
1.055462;2694.789000
1.053131;2692.434000
1.050799;2698.868000
1.048466;2697.974000
1.046133;2688.947000
1.043799;2694.961000
1.041464;2696.276000
1.039129;2702.250000
1.036793;2687.487000
1.034456;2698.316000
1.032118;2704.618000
1.029780;2712.973000
1.027441;2710.763000
1.025102;2718.224000
1.022762;2724.627000
1.020421;2721.737000
1.018079;2728.737000
1.015737;2742.105000
1.013394;2729.671000
1.011050;2760.105000
1.008706;2757.658000
1.006361;2777.289000
1.004015;2763.921000
1.001669;2781.197000
0.999322;2801.882000
0.996975;2793.132000
0.994626;2808.908000
0.992277;2802.566000
0.989928;2815.434000
0.987577;2820.605000
0.985227;2828.513000
0.982875;2831.645000
0.980523;2849.961000
0.978170;2848.066000
0.975816;2885.882000
0.973462;2891.184000
0.971107;2894.974000
0.968752;2902.776000
0.966395;2902.158000
0.964039;2930.434000
0.961681;2946.842000
0.959323;2950.158000
0.956964;2974.145000
0.954605;2984.461000
0.952245;2985.447000
0.949884;3005.289000
0.947523;3018.921000
0.945161;3040.487000
0.942798;3039.211000
0.940435;3043.132000
0.938071;3052.013000
0.935707;3068.671000
0.933342;3061.500000
0.930976;3065.513000
0.928609;3055.513000
0.926242;3045.211000
0.923875;3051.171000
0.921507;3038.105000
0.919138;3037.513000
0.916768;3034.368000
0.914398;3027.395000
0.912027;3003.895000
0.909656;2995.789000
0.907284;2976.184000
0.904911;2953.184000
0.902538;2935.961000
0.900165;2920.158000
0.897790;2889.737000
0.895415;2883.079000
0.893039;2848.566000
0.890663;2836.513000
0.888286;2815.197000
0.885909;2781.132000
0.883531;2754.487000
0.881152;2735.605000
0.878773;2720.145000
0.876393;2686.421000
0.874013;2669.105000
0.871632;2653.776000
0.869250;2637.250000
0.866868;2625.000000
0.864485;2602.763000
0.862102;2587.053000
0.859718;2568.276000
0.857333;2556.237000
0.854948;2558.145000
0.852563;2521.421000
0.850176;2395.434000
0.847789;nan
0.845402;nan
0.843014;nan
0.840625;nan
0.838236;nan
0.835846;nan
0.833456;nan
0.831065;nan
0.828674;nan
0.826282;nan
0.823889;nan
0.821496;nan
0.819102;nan
0.816708;nan
0.814313;nan
0.811918;nan
0.809522;nan
0.807125;2335.579000
0.804728;2443.289000
0.802331;2446.434000
0.799932;2442.776000
0.797534;2376.803000
0.795134;2454.842000
0.792735;2458.382000
0.790334;2467.171000
0.787933;2501.184000
0.785532;2499.632000
0.783130;2527.908000
0.780728;2558.368000
0.778324;2575.158000
0.775921;2590.237000
0.773517;2600.645000
0.771112;2592.776000
0.768707;2595.868000
0.766301;2583.539000
0.763895;2572.934000
0.761488;2570.566000
0.759081;2555.566000
0.756673;2538.395000
0.754265;2517.382000
0.751856;2502.724000
0.749447;2483.987000
0.747037;2457.671000
0.744626;2458.368000
0.742216;2447.447000
0.739804;2424.645000
0.737392;2417.197000
0.734980;2415.355000
0.732567;2418.697000
0.730153;2411.697000
0.727739;2406.079000
0.725325;2406.132000
0.722910;2405.092000
0.720494;2401.553000
0.718078;2387.276000
0.715662;2396.776000
0.713245;2400.974000
0.710828;2387.553000
0.708410;2387.579000
0.705991;2392.026000
0.703572;2388.592000
0.701153;2394.079000
0.698733;2382.250000
0.696313;2387.118000
0.693892;2397.132000
0.691470;2387.132000
0.689049;2386.829000
0.686626;2382.132000
0.684203;2396.329000
0.681780;2402.039000
0.679356;2382.908000
0.676932;2395.987000
0.674508;2400.250000
0.672082;2400.421000
0.669657;2397.039000
0.667231;2405.895000
0.664804;2401.513000
0.662377;2409.711000
0.659950;2413.118000
0.657522;2412.789000
0.655093;2417.303000
0.652665;2409.816000
0.650235;2428.605000
0.647805;2423.737000
0.645375;2419.816000
0.642945;2431.224000
0.640514;2422.895000
0.638082;2434.579000
0.635650;2438.066000
0.633218;2441.395000
0.630785;2457.197000
0.628351;2441.908000
0.625918;2463.803000
0.623483;2440.974000
0.621049;2449.539000
0.618614;2460.908000
