Pixel;q_z(A^-1);Intensity
258.000000;1.664141;5575.868000
259.000000;1.662041;5565.789000
260.000000;1.659939;5565.184000
261.000000;1.657837;5563.711000
262.000000;1.655733;5535.513000
263.000000;1.653629;5538.000000
264.000000;1.651524;5510.197000
265.000000;1.649417;5509.408000
266.000000;1.647310;5516.579000
267.000000;1.645202;5509.737000
268.000000;1.643093;5498.829000
269.000000;1.640983;5499.882000
270.000000;1.638872;5470.579000
271.000000;1.636760;5486.711000
272.000000;1.634647;5492.526000
273.000000;1.632533;5473.132000
274.000000;1.630418;5483.526000
275.000000;1.628302;5477.724000
276.000000;1.626185;5473.566000
277.000000;1.624068;5467.500000
278.000000;1.621949;5461.974000
279.000000;1.619829;5462.487000
280.000000;1.617709;5455.645000
281.000000;1.615587;5448.711000
282.000000;1.613465;5467.579000
283.000000;1.611341;5469.237000
284.000000;1.609217;5467.026000
285.000000;1.607092;5433.579000
286.000000;1.604966;5457.816000
287.000000;1.602839;5456.855000
288.000000;1.600711;5471.145000
289.000000;1.598582;5455.934000
290.000000;1.596452;5460.368000
291.000000;1.594321;5465.658000
292.000000;1.592189;5454.776000
293.000000;1.590056;5456.539000
294.000000;1.587922;5456.039000
295.000000;1.585788;5459.618000
296.000000;1.583652;5461.500000
297.000000;1.581516;5459.079000
298.000000;1.579378;5460.816000
299.000000;1.577240;5451.961000
300.000000;1.575101;5451.092000
301.000000;1.572961;5464.013000
302.000000;1.570819;5440.947000
303.000000;1.568677;5458.000000
304.000000;1.566534;5459.711000
305.000000;1.564390;5466.184000
306.000000;1.562246;5457.579000
307.000000;1.560100;5450.895000
308.000000;1.557953;5506.434000
309.000000;1.555806;5422.355000
310.000000;1.553657;5418.184000
311.000000;1.551508;5413.487000
312.000000;1.549357;5519.039000
313.000000;1.547206;5459.895000
314.000000;1.545054;5469.789000
315.000000;1.542900;5461.211000
316.000000;1.540746;5451.566000
317.000000;1.538591;5451.737000
318.000000;1.536436;5453.882000
319.000000;1.534279;5450.974000
320.000000;1.532121;5445.645000
321.000000;1.529962;5443.039000
322.000000;1.527803;5442.053000
323.000000;1.525642;5442.263000
324.000000;1.523481;5443.355000
325.000000;1.521319;5427.947000
326.000000;1.519155;5396.513000
327.000000;1.516991;5423.289000
328.000000;1.514826;5417.382000
329.000000;1.512660;5411.776000
330.000000;1.510494;5398.316000
331.000000;1.508326;5387.224000
332.000000;1.506157;5392.882000
333.000000;1.503988;5395.132000
334.000000;1.501817;5371.329000
335.000000;1.499646;5364.908000
336.000000;1.497473;5359.500000
337.000000;1.495300;5348.105000
338.000000;1.493126;5327.342000
339.000000;1.490951;5319.566000
340.000000;1.488775;5321.921000
341.000000;1.486599;5322.566000
342.000000;1.484421;5299.276000
343.000000;1.482242;5310.421000
344.000000;1.480063;5266.711000
345.000000;1.477883;5284.250000
346.000000;1.475701;5266.447000
347.000000;1.473519;5262.092000
348.000000;1.471336;5228.434000
349.000000;1.469152;5221.237000
350.000000;1.466967;5228.987000
351.000000;1.464782;5208.487000
352.000000;1.462595;5194.118000
353.000000;1.460408;5186.842000
354.000000;1.458219;5167.368000
355.000000;1.456030;5166.618000
356.000000;1.453840;5152.526000
357.000000;1.451649;5164.934000
358.000000;1.449457;5144.026000
359.000000;1.447264;5129.789000
360.000000;1.445070;5120.395000
361.000000;1.442876;5108.592000
362.000000;1.440680;5104.066000
363.000000;1.438484;5091.132000
364.000000;1.436287;5092.289000
365.000000;1.434089;5057.158000
366.000000;1.431890;5058.684000
367.000000;1.429690;5046.342000
368.000000;1.427489;5050.763000
369.000000;1.425288;5048.605000
370.000000;1.423085;5026.276000
371.000000;1.420882;5027.882000
372.000000;1.418678;4997.618000
373.000000;1.416473;5008.329000
374.000000;1.414267;4998.776000
375.000000;1.412060;4995.171000
376.000000;1.409852;4970.487000
377.000000;1.407644;4945.184000
378.000000;1.405434;4964.079000
379.000000;1.403224;4928.105000
380.000000;1.401013;4905.434000
381.000000;1.398801;4897.908000
382.000000;1.396588;4871.092000
383.000000;1.394374;4867.158000
384.000000;1.392160;4823.303000
385.000000;1.389944;4817.237000
386.000000;1.387728;4788.895000
387.000000;1.385511;4779.816000
388.000000;1.383293;4749.658000
389.000000;1.381074;4724.658000
390.000000;1.378854;4696.184000
391.000000;1.376633;4674.882000
392.000000;1.374412;4633.316000
393.000000;1.372190;4607.658000
394.000000;1.369966;4576.000000
395.000000;1.367742;4540.803000
396.000000;1.365518;4513.487000
397.000000;1.363292;4480.526000
398.000000;1.361065;4447.395000
399.000000;1.358838;4418.618000
400.000000;1.356610;4379.961000
401.000000;1.354381;4357.237000
402.000000;1.352151;4330.105000
403.000000;1.349920;4296.171000
404.000000;1.347688;4284.579000
405.000000;1.345456;4257.987000
406.000000;1.343223;4234.289000
407.000000;1.340988;3974.211000
408.000000;1.338753;nan
409.000000;1.336518;nan
410.000000;1.334281;nan
411.000000;1.332043;nan
412.000000;1.329805;nan
413.000000;1.327566;nan
414.000000;1.325326;nan
415.000000;1.323085;nan
416.000000;1.320843;nan
417.000000;1.318601;nan
418.000000;1.316358;nan
419.000000;1.314114;nan
420.000000;1.311869;nan
421.000000;1.309623;nan
422.000000;1.307376;nan
423.000000;1.305129;nan
424.000000;1.302881;nan
425.000000;1.300631;3596.763000
426.000000;1.298382;3827.618000
427.000000;1.296131;3805.355000
428.000000;1.293879;3805.092000
429.000000;1.291627;3787.526000
430.000000;1.289374;3762.868000
431.000000;1.287120;3758.645000
432.000000;1.284865;3751.395000
433.000000;1.282609;3722.368000
434.000000;1.280353;3710.487000
435.000000;1.278096;3694.658000
436.000000;1.275838;3678.605000
437.000000;1.273579;3661.342000
438.000000;1.271319;3651.303000
439.000000;1.269059;3636.211000
440.000000;1.266797;3624.987000
441.000000;1.264535;3613.395000
442.000000;1.262272;3588.079000
443.000000;1.260009;3580.434000
444.000000;1.257744;3574.711000
445.000000;1.255479;3547.408000
446.000000;1.253213;3534.250000
447.000000;1.250946;3510.750000
448.000000;1.248678;3518.789000
449.000000;1.246410;3486.395000
450.000000;1.244141;3483.395000
451.000000;1.241871;3474.605000
