Sum vertically x	Sum vertically y
-1.694891e+00	4.697573e+03
-1.692232e+00	4.806802e+03
-1.689573e+00	4.807475e+03
-1.686913e+00	4.863758e+03
-1.684254e+00	4.832531e+03
-1.681595e+00	4.898729e+03
-1.678936e+00	4.936406e+03
-1.676276e+00	4.930917e+03
-1.673617e+00	5.016042e+03
-1.670958e+00	5.035250e+03
-1.668299e+00	5.057854e+03
-1.665639e+00	5.073942e+03
-1.662980e+00	5.146333e+03
-1.660321e+00	5.166875e+03
-1.657662e+00	5.193365e+03
-1.655003e+00	5.248750e+03
-1.652343e+00	5.246406e+03
-1.649684e+00	5.295302e+03
-1.647025e+00	5.317031e+03
-1.644366e+00	5.317350e+03
-1.641706e+00	5.389544e+03
-1.639047e+00	5.365681e+03
-1.636388e+00	5.403146e+03
-1.633729e+00	5.465656e+03
-1.631069e+00	5.453562e+03
-1.628410e+00	5.500802e+03
-1.625751e+00	5.517885e+03
-1.623092e+00	5.550594e+03
-1.620432e+00	5.563756e+03
-1.617773e+00	5.598065e+03
-1.615114e+00	5.607167e+03
-1.612455e+00	5.642583e+03
-1.609795e+00	5.661875e+03
-1.607136e+00	5.662177e+03
-1.604477e+00	5.666010e+03
-1.601818e+00	5.688021e+03
-1.599158e+00	5.704083e+03
-1.596499e+00	5.733656e+03
-1.593840e+00	5.766954e+03
-1.591181e+00	5.763000e+03
-1.588521e+00	5.803635e+03
-1.585862e+00	5.822469e+03
-1.583203e+00	5.879448e+03
-1.580544e+00	5.911156e+03
-1.577885e+00	5.976896e+03
-1.575225e+00	5.984531e+03
-1.572566e+00	6.084113e+03
-1.569907e+00	6.070219e+03
-1.567248e+00	6.124562e+03
-1.564588e+00	6.186031e+03
-1.561929e+00	6.195917e+03
-1.559270e+00	6.238719e+03
-1.556611e+00	6.287365e+03
-1.553951e+00	6.238885e+03
-1.551292e+00	6.244031e+03
-1.548633e+00	6.307052e+03
-1.545974e+00	6.311800e+03
-1.543314e+00	6.326365e+03
-1.540655e+00	6.327865e+03
-1.537996e+00	6.326375e+03
-1.535337e+00	6.310281e+03
-1.532677e+00	6.353635e+03
-1.530018e+00	6.369271e+03
-1.527359e+00	6.399677e+03
-1.524700e+00	6.360094e+03
-1.522040e+00	6.406377e+03
-1.519381e+00	6.318385e+03
-1.516722e+00	6.288750e+03
-1.514063e+00	6.253813e+03
-1.511403e+00	6.241344e+03
-1.508744e+00	6.232896e+03
-1.506085e+00	6.221708e+03
-1.503426e+00	6.181771e+03
-1.500767e+00	6.185677e+03
-1.498107e+00	6.198508e+03
-1.495448e+00	6.149835e+03
-1.492789e+00	6.175740e+03
-1.490130e+00	6.153531e+03
-1.487470e+00	6.163802e+03
-1.484811e+00	6.127750e+03
-1.482152e+00	6.125312e+03
-1.479493e+00	6.121531e+03
-1.476833e+00	6.110510e+03
-1.474174e+00	6.114333e+03
-1.471515e+00	6.085248e+03
-1.468856e+00	5.833438e+03
