Pixel;q_z(A^-1);Intensity
241.000000;1.747565;5801.882000
242.000000;1.745503;5776.461000
243.000000;1.743440;5758.684000
244.000000;1.741377;5746.868000
245.000000;1.739312;5735.789000
246.000000;1.737246;5714.184000
247.000000;1.735180;5695.697000
248.000000;1.733112;5683.829000
249.000000;1.731044;5681.776000
250.000000;1.728974;5668.487000
251.000000;1.726904;5662.224000
252.000000;1.724832;5648.632000
253.000000;1.722760;5631.592000
254.000000;1.720686;5630.539000
255.000000;1.718612;5612.026000
256.000000;1.716537;5589.447000
257.000000;1.714460;5595.026000
258.000000;1.712383;5575.868000
259.000000;1.710305;5565.789000
260.000000;1.708225;5565.184000
261.000000;1.706145;5563.711000
262.000000;1.704064;5535.513000
263.000000;1.701982;5538.000000
264.000000;1.699899;5510.197000
265.000000;1.697814;5509.408000
266.000000;1.695729;5516.579000
267.000000;1.693643;5509.737000
268.000000;1.691556;5498.829000
269.000000;1.689468;5499.882000
270.000000;1.687379;5470.579000
271.000000;1.685290;5486.711000
272.000000;1.683199;5492.526000
273.000000;1.681107;5473.132000
274.000000;1.679014;5483.526000
275.000000;1.676920;5477.724000
276.000000;1.674826;5473.566000
277.000000;1.672730;5467.500000
278.000000;1.670633;5461.974000
279.000000;1.668536;5462.487000
280.000000;1.666437;5455.645000
281.000000;1.664338;5448.711000
282.000000;1.662237;5467.579000
283.000000;1.660136;5469.237000
284.000000;1.658033;5467.026000
285.000000;1.655930;5433.579000
286.000000;1.653826;5457.816000
287.000000;1.651720;5456.855000
288.000000;1.649614;5471.145000
289.000000;1.647507;5455.934000
290.000000;1.645399;5460.368000
291.000000;1.643290;5465.658000
292.000000;1.641180;5454.776000
293.000000;1.639069;5456.539000
294.000000;1.636957;5456.039000
295.000000;1.634844;5459.618000
296.000000;1.632730;5461.500000
297.000000;1.630615;5459.079000
298.000000;1.628500;5460.816000
299.000000;1.626383;5451.961000
300.000000;1.624265;5451.092000
301.000000;1.622147;5464.013000
302.000000;1.620027;5440.947000
303.000000;1.617907;5458.000000
304.000000;1.615785;5459.711000
305.000000;1.613663;5466.184000
306.000000;1.611540;5457.579000
307.000000;1.609416;5450.895000
308.000000;1.607290;5506.434000
309.000000;1.605164;5422.355000
310.000000;1.603037;5418.184000
311.000000;1.600909;5413.487000
312.000000;1.598780;5519.039000
313.000000;1.596651;5459.895000
314.000000;1.594520;5469.789000
315.000000;1.592388;5461.211000
316.000000;1.590255;5451.566000
317.000000;1.588122;5451.737000
318.000000;1.585987;5453.882000
319.000000;1.583852;5450.974000
320.000000;1.581715;5445.645000
321.000000;1.579578;5443.039000
322.000000;1.577440;5442.053000
323.000000;1.575301;5442.263000
324.000000;1.573160;5443.355000
325.000000;1.571019;5427.947000
326.000000;1.568877;5396.513000
327.000000;1.566735;5423.289000
328.000000;1.564591;5417.382000
329.000000;1.562446;5411.776000
330.000000;1.560300;5398.316000
331.000000;1.558154;5387.224000
332.000000;1.556006;5392.882000
333.000000;1.553858;5395.132000
334.000000;1.551708;5371.329000
335.000000;1.549558;5364.908000
336.000000;1.547407;5359.500000
337.000000;1.545255;5348.105000
338.000000;1.543102;5327.342000
339.000000;1.540948;5319.566000
340.000000;1.538793;5321.921000
341.000000;1.536637;5322.566000
342.000000;1.534480;5299.276000
343.000000;1.532323;5310.421000
344.000000;1.530164;5266.711000
345.000000;1.528005;5284.250000
346.000000;1.525844;5266.447000
347.000000;1.523683;5262.092000
348.000000;1.521521;5228.434000
349.000000;1.519358;5221.237000
350.000000;1.517193;5228.987000
351.000000;1.515029;5208.487000
352.000000;1.512863;5194.118000
353.000000;1.510696;5186.842000
354.000000;1.508528;5167.368000
355.000000;1.506360;5166.618000
356.000000;1.504190;5152.526000
357.000000;1.502020;5164.934000
358.000000;1.499849;5144.026000
359.000000;1.497676;5129.789000
360.000000;1.495503;5120.395000
361.000000;1.493329;5108.592000
362.000000;1.491154;5104.066000
363.000000;1.488979;5091.132000
364.000000;1.486802;5092.289000
365.000000;1.484624;5057.158000
366.000000;1.482446;5058.684000
367.000000;1.480267;5046.342000
368.000000;1.478086;5050.763000
369.000000;1.475905;5048.605000
370.000000;1.473723;5026.276000
371.000000;1.471540;5027.882000
372.000000;1.469356;4997.618000
373.000000;1.467172;5008.329000
374.000000;1.464986;4998.776000
375.000000;1.462799;4995.171000
376.000000;1.460612;4970.487000
377.000000;1.458424;4945.184000
378.000000;1.456235;4964.079000
379.000000;1.454044;4928.105000
380.000000;1.451854;4905.434000
381.000000;1.449662;4897.908000
382.000000;1.447469;4871.092000
383.000000;1.445275;4867.158000
384.000000;1.443081;4823.303000
385.000000;1.440886;4817.237000
386.000000;1.438689;4788.895000
387.000000;1.436492;4779.816000
388.000000;1.434294;4749.658000
389.000000;1.432095;4724.658000
390.000000;1.429896;4696.184000
391.000000;1.427695;4674.882000
392.000000;1.425493;4633.316000
393.000000;1.423291;4607.658000
394.000000;1.421088;4576.000000
395.000000;1.418884;4540.803000
396.000000;1.416679;4513.487000
397.000000;1.414473;4480.526000
398.000000;1.412266;4447.395000
399.000000;1.410058;4418.618000
400.000000;1.407850;4379.961000
401.000000;1.405641;4357.237000
402.000000;1.403430;4330.105000
403.000000;1.401219;4296.171000
404.000000;1.399007;4284.579000
405.000000;1.396795;4257.987000
406.000000;1.394581;4234.289000
407.000000;1.392367;3974.211000
408.000000;1.390151;nan
409.000000;1.387935;nan
410.000000;1.385718;nan
411.000000;1.383500;nan
412.000000;1.381281;nan
413.000000;1.379061;nan
414.000000;1.376841;nan
415.000000;1.374619;nan
416.000000;1.372397;nan
417.000000;1.370174;nan
418.000000;1.367950;nan
419.000000;1.365725;nan
420.000000;1.363500;nan
421.000000;1.361273;nan
422.000000;1.359046;nan
423.000000;1.356818;nan
424.000000;1.354589;nan
425.000000;1.352359;3596.763000
426.000000;1.350128;3827.618000
427.000000;1.347897;3805.355000
428.000000;1.345664;3805.092000
429.000000;1.343431;3787.526000
430.000000;1.341197;3762.868000
431.000000;1.338962;3758.645000
432.000000;1.336726;3751.395000
433.000000;1.334490;3722.368000
434.000000;1.332252;3710.487000
435.000000;1.330014;3694.658000
436.000000;1.327775;3678.605000
437.000000;1.325535;3661.342000
438.000000;1.323294;3651.303000
439.000000;1.321053;3636.211000
440.000000;1.318810;3624.987000
441.000000;1.316567;3613.395000
442.000000;1.314323;3588.079000
443.000000;1.312078;3580.434000
444.000000;1.309833;3574.711000
445.000000;1.307586;3547.408000
446.000000;1.305339;3534.250000
447.000000;1.303091;3510.750000
448.000000;1.300842;3518.789000
449.000000;1.298592;3486.395000
450.000000;1.296341;3483.395000
451.000000;1.294090;3474.605000
452.000000;1.291837;3480.605000
453.000000;1.289584;3453.197000
454.000000;1.287330;3436.408000
455.000000;1.285076;3415.526000
456.000000;1.282820;3406.500000
457.000000;1.280564;3387.513000
458.000000;1.278307;3376.329000
459.000000;1.276049;3370.987000
460.000000;1.273790;3343.513000
461.000000;1.271530;3324.026000
462.000000;1.269270;3309.342000
463.000000;1.267009;3307.658000
464.000000;1.264747;3286.184000
465.000000;1.262484;3279.289000
466.000000;1.260220;3252.342000
467.000000;1.257956;3259.934000
468.000000;1.255691;3236.092000
469.000000;1.253425;3213.316000
470.000000;1.251158;3207.750000
471.000000;1.248890;3194.447000
472.000000;1.246622;3173.711000
473.000000;1.244353;3166.421000
474.000000;1.242083;3147.158000
475.000000;1.239812;3135.329000
476.000000;1.237540;3132.592000
477.000000;1.235268;3108.434000
478.000000;1.232995;3091.066000
479.000000;1.230721;3102.145000
480.000000;1.228446;3074.539000
481.000000;1.226170;3071.461000
482.000000;1.223894;3063.474000
483.000000;1.221617;3054.547000
484.000000;1.219339;3040.816000
485.000000;1.217061;3031.592000
486.000000;1.214781;3014.342000
487.000000;1.212501;3022.184000
488.000000;1.210220;2998.421000
489.000000;1.207938;2986.013000
490.000000;1.205656;2986.605000
491.000000;1.203372;2982.237000
492.000000;1.201088;2952.526000
493.000000;1.198803;2955.382000
494.000000;1.196518;2933.908000
495.000000;1.194231;2927.211000
496.000000;1.191944;2907.737000
497.000000;1.189656;2904.697000
498.000000;1.187367;2903.842000
499.000000;1.185078;2896.908000
500.000000;1.182788;2863.500000
501.000000;1.180497;2867.684000
502.000000;1.178205;2858.092000
503.000000;1.175912;2832.500000
504.000000;1.173619;2831.197000
505.000000;1.171325;2835.645000
506.000000;1.169030;2824.382000
507.000000;1.166735;2810.658000
508.000000;1.164438;2807.842000
509.000000;1.162141;2802.303000
510.000000;1.159843;2782.039000
511.000000;1.157545;2792.895000
512.000000;1.155245;2786.934000
513.000000;1.152945;2774.039000
514.000000;1.150645;2752.776000
515.000000;1.148343;2753.421000
516.000000;1.146041;2758.289000
517.000000;1.143738;2743.184000
518.000000;1.141434;2740.171000
519.000000;1.139129;2735.737000
520.000000;1.136824;2750.605000
521.000000;1.134518;2714.816000
522.000000;1.132211;2712.316000
523.000000;1.129903;2709.697000
524.000000;1.127595;2733.803000
525.000000;1.125286;2706.329000
526.000000;1.122976;2703.447000
527.000000;1.120666;2704.382000
528.000000;1.118355;2691.158000
529.000000;1.116043;2691.237000
530.000000;1.113730;2695.447000
531.000000;1.111417;2692.013000
532.000000;1.109103;2694.789000
533.000000;1.106788;2692.434000
534.000000;1.104472;2698.868000
535.000000;1.102156;2697.974000
536.000000;1.099839;2688.947000
537.000000;1.097521;2694.961000
538.000000;1.095203;2696.276000
539.000000;1.092884;2702.250000
540.000000;1.090564;2687.487000
541.000000;1.088243;2698.316000
542.000000;1.085922;2704.618000
543.000000;1.083600;2712.973000
544.000000;1.081277;2710.763000
545.000000;1.078954;2718.224000
546.000000;1.076629;2724.627000
547.000000;1.074304;2721.737000
548.000000;1.071979;2728.737000
549.000000;1.069653;2742.105000
550.000000;1.067326;2729.671000
551.000000;1.064998;2760.105000
552.000000;1.062669;2757.658000
553.000000;1.060340;2777.289000
554.000000;1.058011;2763.921000
555.000000;1.055680;2781.197000
556.000000;1.053349;2801.882000
557.000000;1.051017;2793.132000
558.000000;1.048684;2808.908000
559.000000;1.046351;2802.566000
560.000000;1.044017;2815.434000
561.000000;1.041682;2820.605000
