Sum vertically x	Sum vertically y
103	2.647190e+03
104	2.647667e+03
105	2.703429e+03
106	2.708095e+03
107	2.724048e+03
108	2.755667e+03
109	2.744190e+03
110	2.754524e+03
111	2.774524e+03
112	2.804190e+03
113	2.815095e+03
114	2.834524e+03
115	2.849238e+03
116	2.875810e+03
117	2.908190e+03
118	2.896000e+03
119	2.940238e+03
120	2.941476e+03
121	2.948286e+03
122	2.959571e+03
123	2.973095e+03
124	3.046667e+03
125	3.033571e+03
126	3.052429e+03
127	3.073381e+03
128	3.088857e+03
129	3.094524e+03
130	3.117952e+03
131	3.165857e+03
132	3.166667e+03
133	3.162762e+03
134	3.214286e+03
135	3.250190e+03
136	3.244048e+03
137	3.262190e+03
138	3.286476e+03
139	3.295095e+03
140	3.345524e+03
141	3.347619e+03
142	3.367048e+03
143	3.376476e+03
144	3.393095e+03
145	3.422095e+03
146	3.456714e+03
147	3.472810e+03
148	3.519762e+03
149	3.543524e+03
150	3.561143e+03
151	3.569905e+03
152	3.609095e+03
153	3.643333e+03
154	3.638762e+03
155	3.662810e+03
156	3.702238e+03
157	3.700714e+03
158	3.767810e+03
159	3.756619e+03
160	3.807476e+03
161	3.845952e+03
162	3.868381e+03
163	3.880619e+03
164	3.905286e+03
165	3.940000e+03
166	3.954381e+03
167	3.980381e+03
168	4.015381e+03
169	4.028143e+03
170	4.042857e+03
171	4.091762e+03
172	4.106762e+03
173	4103
174	4.152476e+03
175	4.165381e+03
176	4.189571e+03
177	4211
178	4.244429e+03
179	4.275857e+03
180	4.316333e+03
181	4.364571e+03
182	4.319000e+03
183	4.342476e+03
184	4.365762e+03
185	4.433381e+03
186	4.437619e+03
187	4.474190e+03
188	4.469905e+03
189	4.489857e+03
190	4.526429e+03
191	4.566619e+03
192	4.574905e+03
193	4.613905e+03
194	4.644762e+03
195	4.675095e+03
196	4.682238e+03
197	4.720714e+03
198	4.721571e+03
199	4.780381e+03
200	4.774762e+03
201	4.828381e+03
202	4.844429e+03
203	4.872524e+03
204	4.879571e+03
205	4.895333e+03
206	4.917333e+03
207	4.928238e+03
208	4.946524e+03
209	4.981667e+03
210	5.041048e+03
211	5.015095e+03
212	5.059619e+03
213	5.069048e+03
214	5.094476e+03
215	5.118333e+03
216	5.118143e+03
217	5.161667e+03
218	5.162476e+03
219	5.183905e+03
220	5.230476e+03
221	5.213095e+03
222	5.201905e+03
223	5.229048e+03
224	5.224714e+03
225	5.259286e+03
226	5.285571e+03
227	5.290048e+03
228	5.299667e+03
229	5.327667e+03
230	5.353952e+03
231	5.375952e+03
232	5.411524e+03
233	5.465905e+03
234	5.486333e+03
235	5.550333e+03
236	5.564810e+03
237	5.587429e+03
238	5.605714e+03
239	5.671286e+03
240	5.674238e+03
241	5.698286e+03
242	5.753000e+03
243	5.682524e+03
244	5.680857e+03
245	5.678524e+03
246	5.806905e+03
247	5.756524e+03
248	5.741571e+03
249	5.754905e+03
250	5.780143e+03
251	5.753905e+03
252	5.811143e+03
253	5.820667e+03
254	5.834667e+03
