# Dataset "New Data" exported from GenX3 on Thu Nov 28 10:09:20 2024
# Column lables:
# x                I_simulated        I                  error(I)
1.640744800000e-01 1.518379572660e-05 1.525895100000e-05 1.786849500000e-07
1.683671600000e-01 1.348963994959e-05 1.342192000000e-05 2.018728000000e-07
1.726126100000e-01 1.202734851216e-05 1.209718300000e-05 1.584651400000e-07
1.769389600000e-01 1.072354061484e-05 1.073861100000e-05 1.707870600000e-07
1.769490700000e-01 1.072069225989e-05 1.069983300000e-05 1.697470200000e-07
1.838482300000e-01 8.966148048737e-06 8.943762700000e-06 1.384047600000e-07
1.909057900000e-01 7.505337361306e-06 7.478878700000e-06 1.086605800000e-07
1.979093000000e-01 6.319739964152e-06 6.285397500000e-06 8.473010500000e-08
2.048216800000e-01 5.355026719602e-06 5.225007200000e-06 6.331787800000e-08
2.118283700000e-01 4.544422057966e-06 4.479624300000e-06 6.281539400000e-08
2.187338100000e-01 3.878865458543e-06 3.715036600000e-06 5.264818500000e-08
2.258009900000e-01 3.309146181207e-06 3.213168100000e-06 5.699857300000e-08
2.327230700000e-01 2.840551156385e-06 2.737464900000e-06 4.957677700000e-08
2.397124800000e-01 2.441223393389e-06 2.340096100000e-06 6.547466900000e-08
2.467557300000e-01 2.100847865286e-06 2.007526100000e-06 6.200982500000e-08
2.536201600000e-01 1.818891882160e-06 1.732283300000e-06 5.703615100000e-08
2.607238500000e-01 1.570241276133e-06 1.498554800000e-06 9.107496300000e-08
2.676689500000e-01 1.362678224215e-06 1.316522400000e-06 5.714813600000e-08
2.745802200000e-01 1.185447519316e-06 1.123676400000e-06 9.148277700000e-08
2.816868900000e-01 1.028943410459e-06 1.000713400000e-06 6.809661800000e-08
2.885405900000e-01 8.989524301992e-07 8.740651600000e-07 7.313681300000e-08
2.956031600000e-01 7.832612619597e-07 7.669036900000e-07 9.839310100000e-08
3.025577100000e-01 6.847795980088e-07 6.616940100000e-07 6.271849700000e-08
3.095357200000e-01 5.991158783131e-07 5.502596100000e-07 1.491643700000e-07
3.095441500000e-01 5.990195634156e-07 6.115514400000e-07 1.567404700000e-07
3.243188400000e-01 4.529620280598e-07 4.374643400000e-07 1.687782400000e-07
3.391046300000e-01 3.438376505714e-07 3.452783000000e-07 1.021276000000e-07
3.538492500000e-01 2.620732611222e-07 2.833044000000e-07 7.736176700000e-08
3.685628000000e-01 2.004044201956e-07 2.222127200000e-07 7.002165300000e-08
3.832907200000e-01 1.535347679670e-07 1.638399100000e-07 6.609437600000e-08
3.980464900000e-01 1.177624816883e-07 1.289200300000e-07 6.947195000000e-08
4.127778200000e-01 9.047482059519e-08 9.792226800000e-08 7.623290600000e-08
4.275352300000e-01 6.953563900000e-08 6.953563900000e-08 8.187447700000e-08
4.422344600000e-01 5.352378109080e-08 5.940497600000e-08 9.534158500000e-08
