#twotheta(deg)	#qz(nm-1)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl	#err_refl	#refl
8.7466629e+00	6.1822439e+00	2.0354902e-08	1.2742693e-08	1.1358656e-08	1.1406381e-08	1.6548798e-08	3.2693604e-09	1.2873938e-08
8.7931885e+00	6.2150644e+00	2.0328471e-08	1.2287750e-08	1.0927746e-08	1.0522131e-08	1.6308111e-08	3.2680304e-09	1.3444946e-08
8.8394853e+00	6.2477224e+00	1.9676015e-08	1.2440782e-08	1.0745397e-08	1.1199091e-08	1.6058398e-08	3.1674215e-09	1.0828972e-08
8.8859347e+00	6.2804870e+00	1.8168022e-08	1.1101354e-08	1.0695498e-08	1.1459462e-08	1.4634688e-08	3.0880636e-09	1.1793696e-08
8.9323840e+00	6.3132506e+00	1.8027109e-08	1.1675836e-08	1.0028325e-08	1.0935650e-08	1.4851472e-08	3.0694672e-09	1.0673003e-08
8.9789096e+00	6.3460669e+00	1.8177000e-08	1.1035183e-08	1.1130726e-08	1.0796326e-08	1.4606092e-08	2.9920473e-09	9.0646145e-09
9.0252064e+00	6.3787208e+00	1.6913981e-08	1.2231579e-08	1.1060979e-08	1.0535403e-08	1.4572780e-08	2.9958627e-09	9.0781251e-09
9.0716558e+00	6.4114812e+00	1.7440979e-08	1.1420257e-08	1.1253015e-08	1.0082319e-08	1.4430618e-08	2.9738692e-09	8.8638400e-09
9.1181051e+00	6.4442406e+00	1.7061815e-08	1.2019738e-08	1.0275323e-08	1.0251426e-08	1.4540776e-08	2.9320314e-09	7.3958426e-09
9.1645545e+00	6.4769990e+00	1.6176873e-08	1.1254516e-08	9.8925045e-09	1.1158936e-08	1.3715695e-08	2.8990565e-09	8.3632285e-09
9.2110038e+00	6.5097562e+00	1.5085386e-08	1.1379784e-08	1.0208336e-08	1.0829921e-08	1.3232585e-08	2.8848285e-09	9.0010268e-09
9.2573769e+00	6.5424586e+00	1.5251207e-08	1.1856738e-08	1.0924454e-08	9.6335993e-09	1.3553972e-08	2.8703021e-09	7.8646506e-09
9.3038262e+00	6.5752138e+00	1.5804101e-08	1.0854859e-08	9.4920241e-09	1.0687493e-08	1.3329480e-08	2.7905855e-09	6.3479405e-09
9.3502756e+00	6.6079678e+00	1.7027437e-08	1.1311766e-08	1.0594318e-08	1.0116019e-08	1.4169602e-08	2.8187733e-09	5.2493293e-09
9.3967249e+00	6.6407208e+00	1.5834986e-08	1.1912120e-08	9.6636473e-09	9.5679676e-09	1.3873553e-08	2.7834670e-09	4.9035834e-09
9.4413437e+00	6.6721819e+00	1.5803504e-08	1.1673586e-08	1.0312861e-08	1.0074137e-08	1.3738545e-08	2.7417258e-09	4.2373444e-09
9.4896236e+00	6.7062234e+00	1.6166451e-08	1.0571287e-08	1.0476051e-08	1.0357005e-08	1.3368869e-08	2.6979052e-09	4.1308972e-09
9.5360729e+00	6.7389731e+00	1.6762342e-08	1.1119338e-08	1.0833616e-08	1.0238362e-08	1.3940840e-08	2.7210784e-09	3.4643761e-09
9.5824460e+00	6.7716679e+00	1.5036594e-08	1.0413616e-08	1.0294467e-08	1.0270637e-08	1.2725105e-08	2.6116122e-09	3.3838295e-09
9.6288953e+00	6.8044153e+00	1.5531732e-08	1.0005104e-08	9.9098168e-09	1.1339117e-08	1.2768418e-08	2.5723935e-09	2.4536325e-09
9.6752684e+00	6.8371079e+00	1.3626301e-08	1.0791459e-08	9.7432818e-09	1.0005326e-08	1.2208880e-08	2.5723483e-09	3.5137752e-09
9.7216415e+00	6.8697993e+00	1.4060564e-08	1.0724159e-08	9.9138893e-09	1.0033047e-08	1.2392362e-08	2.5220496e-09	2.0018430e-09
9.7698451e+00	6.9037800e+00	1.5159740e-08	1.0511706e-08	9.9634766e-09	9.5582634e-09	1.2835723e-08	2.4873587e-09	3.9329513e-10
9.8128622e+00	6.9341035e+00	1.3499140e-08	1.0637132e-08	9.3730779e-09	1.0088580e-08	1.2068136e-08	2.4264347e-09	5.9625178e-10
9.8622861e+00	6.9689421e+00	1.2736403e-08	9.6834823e-09	8.9679541e-09	9.8027371e-09	1.1209943e-08	2.3579353e-09	9.5403767e-10
9.9073626e+00	7.0007151e+00	1.3339612e-08	1.0070333e-08	9.6646565e-09	9.2828429e-09	1.1704973e-08	2.3564334e-09	-8.3521722e-11
9.9538119e+00	7.0334546e+00	1.2311269e-08	9.3288882e-09	9.0902977e-09	9.2811701e-09	1.0820079e-08	2.3119633e-09	8.2313720e-10
1.0000261e+01	7.0661930e+00	1.1171348e-08	8.6172149e-09	9.5481605e-09	9.8107349e-09	9.8942813e-09	2.2354075e-09	1.2054553e-09
