#qz(nm-1)	#refl	#err_refl	#twotheta(deg)	#m4pitch(deg)	#pos_y_beam(pix)	#bckg_refl_up	#bckg_refl_down	#bckg_refl_left	#bckg_refl_right	#bckg_refl
1.5557669e+00	1.0291803e-05	1.4776418e-07	1.7592438e+00	-4.3981096e-01	5.8000000e+01	4.2594383e-07	5.4493219e-07	3.8628105e-08	4.6905556e-08	4.8543801e-07
1.5985257e+00	7.5849344e-06	1.0477195e-07	1.8075990e+00	-4.5189975e-01	5.8000000e+01	3.3171545e-07	4.5351361e-07	3.5293786e-08	4.1522101e-08	3.9261453e-07
1.6406773e+00	5.4766642e-06	1.0992732e-07	1.8552677e+00	-4.6381694e-01	5.8000000e+01	2.7904577e-07	3.1657621e-07	3.6487928e-08	3.7530440e-08	2.9781099e-07
1.6835705e+00	3.8516510e-06	5.4341210e-08	1.9037755e+00	-4.7594387e-01	5.8000000e+01	1.9692346e-07	2.4325839e-07	3.4870619e-08	3.8094957e-08	2.2009093e-07
1.7263284e+00	2.6170100e-06	3.7277623e-08	1.9521307e+00	-4.8803266e-01	5.8000000e+01	1.5692162e-07	1.7808592e-07	3.6534571e-08	3.6856462e-08	1.6750377e-07
1.7698280e+00	1.6582545e-06	2.3730223e-08	2.0013248e+00	-5.0033120e-01	5.9000000e+01	1.2582648e-07	1.0881205e-07	3.4631142e-08	3.5484373e-08	1.1731927e-07
1.7698617e+00	1.6542944e-06	2.3633002e-08	2.0013629e+00	-5.0034073e-01	5.9000000e+01	1.2828412e-07	1.0007910e-07	3.5359272e-08	3.4937252e-08	1.1418161e-07
1.8384149e+00	6.7833470e-07	1.4488622e-08	2.0788914e+00	-5.1972285e-01	5.8000000e+01	7.3517304e-08	7.2656978e-08	3.5362651e-08	3.3974766e-08	7.3087141e-08
1.9089567e+00	1.9153347e-07	7.5880350e-09	2.1586698e+00	-5.3966745e-01	5.9000000e+01	4.8754830e-08	4.2124079e-08	3.3482941e-08	3.3723952e-08	4.5439454e-08
1.9789918e+00	5.1261756e-08	6.4581081e-09	2.2378762e+00	-5.5946905e-01	5.9000000e+01	3.6744037e-08	3.7447979e-08	3.3728384e-08	3.3485046e-08	3.7096008e-08
2.0481493e+00	1.1586685e-07	9.1134945e-09	2.3160911e+00	-5.7902277e-01	5.9000000e+01	3.8610759e-08	4.4373559e-08	3.2882536e-08	3.2894062e-08	4.1492159e-08
2.1182163e+00	3.1130401e-07	1.3648660e-08	2.3953356e+00	-5.9883390e-01	5.9000000e+01	4.5244012e-08	6.0933251e-08	3.3027861e-08	3.3671522e-08	5.3088632e-08
2.1872369e+00	5.5901695e-07	2.2529313e-08	2.4733980e+00	-6.1834949e-01	5.9000000e+01	6.4501956e-08	7.9914127e-08	3.2419478e-08	3.3048547e-08	7.2208041e-08
2.2578750e+00	8.1825094e-07	3.1349758e-08	2.5532908e+00	-6.3832270e-01	5.9000000e+01	8.1993595e-08	1.0564559e-07	3.1721504e-08	3.2370775e-08	9.3819594e-08
2.3271296e+00	1.0661966e-06	3.3135788e-08	2.6316201e+00	-6.5790502e-01	5.9000000e+01	9.9620540e-08	1.3022311e-07	3.2224609e-08	3.1819098e-08	1.1492182e-07
2.3970237e+00	1.2771460e-06	5.1144743e-08	2.7106739e+00	-6.7766848e-01	5.9000000e+01	1.1735893e-07	1.5744714e-07	3.3684864e-08	3.0725331e-08	1.3740304e-07
2.4677258e+00	1.4179091e-06	5.5292763e-08	2.7906430e+00	-6.9766076e-01	5.9000000e+01	1.3176778e-07	1.8112449e-07	3.2154937e-08	3.1592788e-08	1.5644614e-07
2.5366399e+00	1.5169457e-06	5.5340430e-08	2.8685910e+00	-7.1714774e-01	5.9000000e+01	1.5167898e-07	1.9556552e-07	3.1094970e-08	3.0522989e-08	1.7362225e-07
2.6071036e+00	1.5470735e-06	9.7493072e-08	2.9482931e+00	-7.3707328e-01	5.9000000e+01	1.5929402e-07	2.1910676e-07	3.2385653e-08	2.9441503e-08	1.8920039e-07
2.6766221e+00	1.5792906e-06	6.5928191e-08	3.0269275e+00	-7.5673187e-01	5.9000000e+01	1.7217467e-07	2.2126893e-07	3.1994012e-08	3.0752865e-08	1.9672180e-07
2.7462068e+00	1.5166800e-06	1.0988390e-07	3.1056381e+00	-7.7640953e-01	5.9000000e+01	1.9186459e-07	2.4353505e-07	2.8114811e-08	2.9634530e-08	2.1769982e-07
2.8167004e+00	1.5253618e-06	8.8182389e-08	3.1853784e+00	-7.9634460e-01	6.0000000e+01	2.0530936e-07	1.9185676e-07	3.1557042e-08	2.8539636e-08	1.9858306e-07
2.8853047e+00	1.3699228e-06	9.7465394e-08	3.2629831e+00	-8.1574578e-01	5.9000000e+01	1.8583412e-07	2.3833146e-07	2.8825224e-08	3.0918676e-08	2.1208279e-07
2.9558968e+00	1.3042769e-06	1.3137355e-07	3.3428378e+00	-8.3570946e-01	6.0000000e+01	1.9560968e-07	1.6884875e-07	3.2176837e-08	2.3575108e-08	1.8222922e-07
3.0254423e+00	1.1618203e-06	8.7396366e-08	3.4215103e+00	-8.5537758e-01	5.9000000e+01	1.5517925e-07	2.2384794e-07	2.9236671e-08	3.0436124e-08	1.8951360e-07
3.0952561e+00	9.8271858e-07	2.1263540e-07	3.5004879e+00	-8.7512198e-01	6.0000000e+01	1.9861884e-07	1.7391500e-07	2.6680143e-08	3.0632756e-08	1.8626692e-07
3.0953404e+00	1.0312686e-06	2.1238070e-07	3.5005833e+00	-8.7514581e-01	6.0000000e+01	1.7532394e-07	1.6374594e-07	2.5140791e-08	3.8372786e-08	1.6953494e-07
3.2433738e+00	7.6405037e-07	2.3046261e-07	3.6680531e+00	-9.1701328e-01	6.0000000e+01	1.4637900e-07	1.7037555e-07	3.0235662e-08	3.8394491e-08	1.5837728e-07
3.3914508e+00	5.5500355e-07	1.2943725e-07	3.8355802e+00	-9.5889504e-01	6.0000000e+01	1.1599523e-07	1.2639199e-07	3.2821146e-08	2.5482256e-08	1.2119361e-07
3.5383577e+00	3.5563338e-07	9.2573422e-08	4.0017916e+00	-1.0004479e+00	6.0000000e+01	9.4214375e-08	9.8503570e-08	3.1651297e-08	3.1651297e-08	9.6358973e-08
