q_z(A^-1);Intensity
1.314323;4227.566000
1.312078;4201.684000
1.309833;4159.697000
1.307586;4153.513000
1.305339;4131.829000
1.303091;4107.382000
1.300842;4083.816000
1.298592;4065.566000
1.296341;4045.395000
1.294090;4026.724000
1.291837;4003.724000
1.289584;4009.461000
1.287330;3977.224000
1.285076;3937.395000
1.282820;3943.171000
1.280564;3919.947000
1.278307;3915.461000
1.276049;3896.526000
1.273790;3873.500000
1.271530;3869.500000
1.269270;3856.947000
1.267009;3840.671000
1.264747;3821.526000
1.262484;3812.447000
1.260220;3801.553000
1.257956;3784.579000
1.255691;3758.776000
1.253425;3758.276000
1.251158;3742.303000
1.248890;3714.184000
1.246622;3694.526000
1.244353;3675.382000
1.242083;3677.513000
1.239812;3659.079000
1.237540;3635.487000
1.235268;3632.224000
1.232995;3604.066000
1.230721;3596.526000
1.228446;3569.737000
1.226170;3559.237000
1.223894;3550.487000
1.221617;3545.853000
1.219339;3512.342000
1.217061;3498.263000
1.214781;3481.382000
1.212501;3469.158000
1.210220;3455.026000
1.207938;3443.447000
1.205656;3412.303000
1.203372;3394.526000
1.201088;3383.803000
1.198803;3381.553000
1.196518;3351.645000
1.194231;3331.658000
1.191944;3326.092000
1.189656;3304.263000
1.187367;3282.421000
1.185078;3273.618000
1.182788;3256.592000
1.180497;3253.724000
1.178205;3237.461000
1.175912;3222.947000
1.173619;3206.105000
1.171325;3204.303000
1.169030;3190.250000
1.166735;3178.461000
1.164438;3168.382000
1.162141;3174.763000
1.159843;3153.829000
1.157545;3134.171000
1.155245;3129.079000
1.152945;3127.382000
1.150645;3103.539000
1.148343;3081.421000
1.146041;3064.224000
1.143738;3062.276000
1.141434;3050.592000
1.139129;3046.711000
1.136824;3038.592000
1.134518;3007.224000
1.132211;2997.868000
1.129903;2988.421000
1.127595;3006.092000
1.125286;2972.974000
1.122976;2960.408000
1.120666;2949.026000
1.118355;2937.921000
1.116043;2926.513000
1.113730;2926.855000
1.111417;2920.211000
1.109103;2912.132000
1.106788;2898.105000
1.104472;2899.553000
1.102156;2890.645000
1.099839;2883.618000
1.097521;2866.224000
1.095203;2867.803000
1.092884;2855.750000
1.090564;2840.671000
1.088243;2839.645000
1.085922;2842.711000
1.083600;2820.413000
1.081277;2830.276000
1.078954;2820.908000
1.076629;2815.200000
1.074304;2816.197000
1.071979;2804.671000
1.069653;2812.211000
1.067326;2801.000000
1.064998;2789.539000
1.062669;2797.184000
1.060340;2795.974000
1.058011;2784.105000
1.055680;2780.000000
1.053349;2786.487000
1.051017;2781.553000
1.048684;2775.026000
1.046351;2786.158000
1.044017;2780.224000
1.041682;2787.171000
1.039347;2779.316000
1.037011;2779.434000
1.034674;2772.737000
1.032337;2791.487000
1.029999;2789.289000
1.027660;2788.803000
1.025320;2792.145000
1.022980;2802.105000
1.020639;2815.408000
1.018298;2826.895000
1.015956;2826.066000
1.013613;2827.855000
1.011269;2836.513000
1.008925;2850.158000
1.006580;2851.250000
1.004235;2861.947000
1.001888;2871.605000
0.999541;2862.382000
0.997194;2880.197000
0.994846;2894.566000
0.992497;2891.250000
0.990147;2893.039000
0.987797;2903.539000
0.985446;2914.737000
0.983095;2920.145000
0.980742;2925.697000
0.978390;2953.250000
0.976036;2951.658000
0.973682;2951.474000
0.971327;2991.500000
0.968972;2981.553000
0.966615;3003.750000
0.964259;3022.026000
0.961901;3042.158000
0.959543;3038.645000
0.957185;3062.237000
0.954825;3075.408000
0.952465;3091.184000
0.950105;3105.197000
0.947743;3116.816000
0.945381;3126.395000
0.943019;3135.513000
0.940656;3141.000000
0.938292;3157.434000
0.935928;3164.118000
0.933562;3169.289000
0.931197;3165.132000
0.928830;3165.737000
0.926464;3160.447000
0.924096;3151.737000
0.921728;3159.750000
0.919359;3142.697000
0.916990;3136.434000
0.914619;3128.763000
0.912249;3104.711000
0.909878;3103.342000
0.907506;3056.724000
0.905133;2895.171000
0.902760;nan
0.900386;nan
0.898012;nan
0.895637;nan
0.893261;nan
0.890885;nan
0.888508;nan
0.886131;nan
0.883753;nan
0.881375;nan
0.878995;nan
0.876616;nan
0.874235;nan
0.871854;nan
0.869473;nan
0.867091;nan
0.864708;nan
0.862324;2526.145000
0.859941;2649.500000
0.857556;2630.658000
0.855171;2601.776000
0.852785;2526.711000
0.850399;2586.500000
0.848012;2587.355000
0.845625;2574.763000
0.843237;2575.697000
0.840848;2555.434000
0.838459;2545.934000
0.836070;2545.053000
0.833679;2532.289000
0.831288;2529.434000
0.828897;2524.645000
0.826505;2520.566000
0.824113;2509.632000
0.821719;2500.776000
0.819326;2499.645000
0.816932;2497.316000
0.814537;2484.013000
0.812141;2493.487000
0.809746;2484.842000
0.807349;2488.434000
0.804952;2491.237000
0.802555;2490.250000
0.800156;2477.342000
0.797758;2480.776000
0.795359;2495.105000
0.792959;2505.105000
0.790559;2506.776000
0.788158;2518.132000
0.785756;2540.697000
0.783354;2537.355000
0.780952;2579.776000
0.778549;2604.684000
0.776145;2614.197000
0.773741;2624.592000
0.771337;2616.842000
0.768932;2627.026000
0.766526;2626.395000
0.764120;2616.829000
0.761713;2602.566000
0.759306;2601.158000
0.756898;2572.487000
0.754490;2552.382000
0.752081;2546.197000
0.749672;2519.053000
0.747262;2504.447000
0.744852;2491.000000
0.742441;2477.053000
0.740029;2458.487000
0.737617;2455.908000
0.735205;2440.329000
0.732792;2430.250000
0.730379;2432.355000
0.727965;2425.513000
0.725550;2422.684000
0.723135;2411.763000
0.720720;2412.013000
0.718304;2419.553000
0.715888;2411.592000
0.713471;2402.697000
0.711053;2400.013000
0.708635;2400.592000
0.706217;2400.224000
0.703798;2398.934000
0.701379;2400.053000
0.698959;2405.237000
0.696539;2408.987000
0.694118;2393.092000
0.691697;2390.789000
0.689275;2393.500000
0.686852;2396.921000
0.684430;2406.026000
0.682007;2399.171000
0.679583;2408.211000
0.677159;2402.118000
0.674734;2396.158000
0.672309;2396.158000
0.669883;2403.211000
0.667457;2398.671000
0.665031;2399.395000
0.662604;2407.737000
0.660176;2415.461000
0.657749;2398.526000
0.655320;2407.947000
0.652891;2414.579000
0.650462;2400.553000
0.648032;2406.461000
0.645602;2413.921000
0.643172;2423.974000
0.640741;2429.329000
0.638309;2423.342000
0.635877;2430.961000
