Sum horizontally x	Sum horizontally y
193	7.515803e+03
194	7.670724e+03
195	7.590434e+03
196	NaN
197	NaN
198	NaN
199	NaN
200	NaN
201	NaN
202	NaN
203	NaN
204	NaN
205	NaN
206	NaN
207	NaN
208	NaN
209	NaN
210	NaN
211	NaN
212	NaN
213	7.597158e+03
214	7.750605e+03
215	7.643605e+03
216	7.563789e+03
217	7.499947e+03
218	7.397276e+03
219	7.297434e+03
220	7.218526e+03
221	7.111763e+03
222	7.008382e+03
223	6.934368e+03
224	6.807671e+03
225	6692
226	6.581079e+03
227	6.517329e+03
228	6.420526e+03
229	6.344263e+03
230	6.243684e+03
231	6.196263e+03
232	6.133855e+03
233	6.085053e+03
234	6.038184e+03
235	5.995171e+03
236	5.950816e+03
237	5.905974e+03
238	5.885421e+03
239	5.841250e+03
240	5.824605e+03
241	5.801882e+03
242	5.776461e+03
243	5.758684e+03
244	5.746868e+03
245	5.735789e+03
246	5.714184e+03
247	5.695697e+03
248	5.683829e+03
249	5.681776e+03
250	5.668487e+03
251	5.662224e+03
252	5.648632e+03
253	5.631592e+03
254	5.630539e+03
255	5.612026e+03
256	5.589447e+03
257	5.595026e+03
258	5.575868e+03
259	5.565789e+03
260	5.565184e+03
261	5.563711e+03
262	5.535513e+03
263	5538
264	5.510197e+03
265	5.509408e+03
266	5.516579e+03
267	5.509737e+03
268	5.498829e+03
269	5.499882e+03
270	5.470579e+03
271	5.486711e+03
272	5.492526e+03
273	5.473132e+03
274	5.483526e+03
275	5.477724e+03
276	5.473566e+03
277	5.467500e+03
278	5.461974e+03
279	5.462487e+03
280	5.455645e+03
281	5.448711e+03
282	5.467579e+03
283	5.469237e+03
284	5.467026e+03
285	5.433579e+03
286	5.457816e+03
287	5.456855e+03
288	5.471145e+03
289	5.455934e+03
290	5.460368e+03
291	5.465658e+03
292	5.454776e+03
293	5.456539e+03
294	5.456039e+03
295	5.459618e+03
296	5.461500e+03
297	5.459079e+03
298	5.460816e+03
299	5.451961e+03
300	5.451092e+03
301	5.464013e+03
302	5.440947e+03
303	5458
304	5.459711e+03
305	5.466184e+03
306	5.457579e+03
307	5.450895e+03
308	5.506434e+03
309	5.422355e+03
310	5.418184e+03
311	5.413487e+03
312	5.519039e+03
313	5.459895e+03
314	5.469789e+03
315	5.461211e+03
316	5.451566e+03
317	5.451737e+03
318	5.453882e+03
319	5.450974e+03
320	5.445645e+03
321	5.443039e+03
322	5.442053e+03
323	5.442263e+03
324	5.443355e+03
325	5.427947e+03
326	5.396513e+03
327	5.423289e+03
328	5.417382e+03
329	5.411776e+03
330	5.398316e+03
331	5.387224e+03
332	5.392882e+03
333	5.395132e+03
334	5.371329e+03
335	5.364908e+03
336	5.359500e+03
337	5.348105e+03
338	5.327342e+03
339	5.319566e+03
340	5.321921e+03
341	5.322566e+03
342	5.299276e+03
343	5.310421e+03
344	5.266711e+03
345	5.284250e+03
346	5.266447e+03
347	5.262092e+03
348	5.228434e+03
349	5.221237e+03
350	5.228987e+03
351	5.208487e+03
352	5.194118e+03
353	5.186842e+03
354	5.167368e+03
355	5.166618e+03
356	5.152526e+03
357	5.164934e+03
358	5.144026e+03
359	5.129789e+03
360	5.120395e+03
361	5.108592e+03
362	5.104066e+03
363	5.091132e+03
364	5.092289e+03
365	5.057158e+03
366	5.058684e+03
367	5.046342e+03
368	5.050763e+03
369	5.048605e+03
370	5.026276e+03
371	5.027882e+03
372	4.997618e+03
373	5.008329e+03
374	4.998776e+03
375	4.995171e+03
376	4.970487e+03
377	4.945184e+03
378	4.964079e+03
379	4.928105e+03
380	4.905434e+03
381	4.897908e+03
382	4.871092e+03
383	4.867158e+03
384	4.823303e+03
385	4.817237e+03
386	4.788895e+03
387	4.779816e+03
388	4.749658e+03
389	4.724658e+03
390	4.696184e+03
391	4.674882e+03
392	4.633316e+03
393	4.607658e+03
394	4576
395	4.540803e+03
396	4.513487e+03
397	4.480526e+03
398	4.447395e+03
399	4.418618e+03
400	4.379961e+03
401	4.357237e+03
402	4.330105e+03
403	4.296171e+03
404	4.284579e+03
405	4.257987e+03
406	4.234289e+03
407	3.974211e+03
408	NaN
409	NaN
410	NaN
411	NaN
412	NaN
413	NaN
414	NaN
415	NaN
416	NaN
417	NaN
418	NaN
419	NaN
420	NaN
421	NaN
422	NaN
423	NaN
424	NaN
425	3.596763e+03
426	3.827618e+03
427	3.805355e+03
428	3.805092e+03
429	3.787526e+03
430	3.762868e+03
431	3.758645e+03
432	3.751395e+03
433	3.722368e+03
434	3.710487e+03
435	3.694658e+03
436	3.678605e+03
437	3.661342e+03
438	3.651303e+03
439	3.636211e+03
440	3.624987e+03
441	3.613395e+03
442	3.588079e+03
443	3.580434e+03
444	3.574711e+03
445	3.547408e+03
446	3.534250e+03
447	3.510750e+03
448	3.518789e+03
449	3.486395e+03
450	3.483395e+03
451	3.474605e+03
452	3.480605e+03
453	3.453197e+03
454	3.436408e+03
455	3.415526e+03
456	3.406500e+03
457	3.387513e+03
458	3.376329e+03
459	3.370987e+03
460	3.343513e+03
461	3.324026e+03
462	3.309342e+03
463	3.307658e+03
464	3.286184e+03
465	3.279289e+03
466	3.252342e+03
467	3.259934e+03
468	3.236092e+03
469	3.213316e+03
470	3.207750e+03
471	3.194447e+03
472	3.173711e+03
473	3.166421e+03
474	3.147158e+03
475	3.135329e+03
476	3.132592e+03
477	3.108434e+03
478	3.091066e+03
479	3.102145e+03
480	3.074539e+03
481	3.071461e+03
482	3.063474e+03
483	3.054547e+03
484	3.040816e+03
485	3.031592e+03
486	3.014342e+03
487	3.022184e+03
488	2.998421e+03
489	2.986013e+03
490	2.986605e+03
491	2.982237e+03
492	2.952526e+03
493	2.955382e+03
494	2.933908e+03
495	2.927211e+03
496	2.907737e+03
497	2.904697e+03
498	2.903842e+03
499	2.896908e+03
500	2.863500e+03
501	2.867684e+03
502	2.858092e+03
503	2.832500e+03
504	2.831197e+03
505	2.835645e+03
506	2.824382e+03
507	2.810658e+03
508	2.807842e+03
509	2.802303e+03
510	2.782039e+03
511	2.792895e+03
512	2.786934e+03
513	2.774039e+03
514	2.752776e+03
515	2.753421e+03
516	2.758289e+03
517	2.743184e+03
518	2.740171e+03
519	2.735737e+03
520	2.750605e+03
521	2.714816e+03
522	2.712316e+03
523	2.709697e+03
524	2.733803e+03
525	2.706329e+03
526	2.703447e+03
527	2.704382e+03
528	2.691158e+03
529	2.691237e+03
530	2.695447e+03
531	2.692013e+03
532	2.694789e+03
533	2.692434e+03
534	2.698868e+03
535	2.697974e+03
536	2.688947e+03
537	2.694961e+03
538	2.696276e+03
539	2.702250e+03
540	2.687487e+03
541	2.698316e+03
542	2.704618e+03
543	2.712973e+03
544	2.710763e+03
545	2.718224e+03
546	2.724627e+03
547	2.721737e+03
548	2.728737e+03
549	2.742105e+03
550	2.729671e+03
551	2.760105e+03
552	2.757658e+03
553	2.777289e+03
554	2.763921e+03
555	2.781197e+03
556	2.801882e+03
557	2.793132e+03
558	2.808908e+03
559	2.802566e+03
560	2.815434e+03
561	2.820605e+03
562	2.828513e+03
563	2.831645e+03
